EQUNR;SERNR;MATNR;HERST;WERK;INBDT;BAUJJ;CHARGE;LVORM;EQKTX
LSGHD54H4FD319153;LSGHD54H4FD319153;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGSA52M0GY003161;LSGSA52M0GY003161;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M0GY003225;LSGSA52M0GY003225;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M1CY149308;LSGSA52M1CY149308;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M1EY024632;LSGSA52M1EY024632;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M1EY025134;LSGSA52M1EY025134;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGHD52H9KD023168;LSGHD52H9KD023168;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD54H4GD232628;LSGHD54H4GD232628;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M1CY202228;LSGSA52M1CY202228;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGSA52M1EY028910;LSGSA52M1EY028910;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M2CY313323;LSGSA52M2CY313323;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGHD54H1HD148607;LSGHD54H1HD148607;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD54H1HD148977;LSGHD54H1HD148977;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD54H4HD277845;LSGHD54H4HD277845;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGSA52M0BY118559;LSGSA52M0BY118559;000000000000748927;;;00000000;2011;;;CHEVROLET SAIL
LSGSA52M0DY181065;LSGSA52M0DY181065;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M0GY022082;LSGSA52M0GY022082;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD54MSGD065003;LSGHD54MSGD065003;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHDS4H5GD166381;LSGHDS4H5GD166381;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGSA52M0DY214436;LSGSA52M0DY214436;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M0DY214534;LSGSA52M0DY214534;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M0DY216428;LSGSA52M0DY216428;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M0GY025211;LSGSA52M0GY025211;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52H9GD249587;LSGHD52H9GD249587;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52HXGD255415;LSGHD52HXGD255415;000000000000748927;;;00000000;2016;;;CHEVROLET SAIL
LSGHD52HXHD144588;LSGHD52HXHD144588;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD54H1KD039264;LSGHD54H1KD039264;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGHD54H4LD060952;LSGHD54H4LD060952;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGHD54H5FD260792;LSGHD54H5FD260792;000000000000748927;;;00000000;2015;;;CHEVROLET SAIL
LSGSA52M0EV030289;LSGSA52M0EV030289;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M0EY013198;LSGSA52M0EY013198;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M1CY310686;LSGSA52M1CY310686;000000000000748927;;;00000000;2012;;;CHEVROLET SAIL
LSGHD52H9LD012172;LSGHD52H9LD012172;000000000000748927;;;00000000;2020;;;CHEVROLET SAIL
LSGSA52M0EY024220;LSGSA52M0EY024220;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M0EY024301;LSGSA52M0EY024301;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M0EY024430;LSGSA52M0EY024430;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M1EY156404;LSGSA52M1EY156404;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M1EY174692;LSGSA52M1EY174692;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGSA52M1H4130646;LSGSA52M1H4130646;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD52H9HD147661;LSGHD52H9HD147661;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
LSGHD54H8KD039150;LSGHD54H8KD039150;000000000000748927;;;00000000;2019;;;CHEVROLET SAIL
LSGSA52M1DY059024;LSGSA52M1DY059024;000000000000748927;;;00000000;2013;;;CHEVROLET SAIL
LSGSA52M1EY186275;LSGSA52M1EY186275;000000000000748927;;;00000000;2014;;;CHEVROLET SAIL
LSGHD52H9HD174536;LSGHD52H9HD174536;000000000000748927;;;00000000;2017;;;CHEVROLET SAIL
