MATNR;MATKL;SPART;MFRNR;MFRPN;MEINS;LVORM;MAKTX;WERKS
000000000000884203;0005;M4;0000100005;5715H666I;ST;;JD TAPÓN ROSCADO;1CD0
000000000000884227;0005;M4;;;ST;;JD Gator XUV855M 4X4;1CD0
000000000000891310;0005;M4;;;ST;;JD BARRA LEVANTE HID IZQ CAT.3;1CD0
000000000000889345;0005;M0;;;ST;;JD EXCAV. 470G LC MASS EXCAVATOR;1CD0
000000000000893227;0005;M4;;;ST;;JD rotoempacadora F441M;1CD0
000000000000893228;0005;M4;;;ST;;JD rotoempacadora F441R;1CD0
000000000000893229;0005;M4;;;ST;;JD rotoempacadora combinada C441R;1CD0
000000000000893292;0005;M2;;;ST;;JD EXCAV 210G LCF C/PLANTADOR BRACKE P12;1CD0
000000000000893378;0005;M0;;;ST;;JD BRAZO RETRO BRADCO 509B-12-JDSG (BH8);1CD0
000000000000893380;0005;M0;;;ST;;JD BRAZO RETRO BRADCO 511B12-JDMG (BH11);1CD0
000000000000894915;0005;M0;;;ST;;JD MINI 320G PALANCAS;1CD0
000000000000894920;0005;M2;;;ST;;JD 1470G HARVESTER RUEDAS 6X6 H290;1CD0
000000000000906602;0005;M0;;;ST;;JD CARGADOR 644K  BR;1CD0
000000000000908040;0005;M4;0000100005;021RPC;ST;;JD jdlink MTG 4G LTE(jdlink connect);1CD0
000000000000914543;0005;M2;;;ST;;JD SKIDDER 648L HD;1CD0
000000000000914544;0005;M0;;;ST;;JD EXCAV. 200G BR;1CD0
000000000000914861;0005;M4;0000100157;021RPC - 6099;ST;;JD jdlink MTG 4G LTE(sin suscripción);1CD0
000000000000914870;0005;M4;;;ST;;JD Esparcidor de materia seca R4030;1CD0
000000000000916014;0005;M0;;;ST;;JD BRAZO RETRO MINI BH9;1CD0
000000000000916016;0005;M0;;;ST;;JD MOTO 620G;1CD0
000000000000915813;0005;M4;;;ST;;JD 563 PARA 6E - 3 FUNCIONES;1CD0
000000000000915682;0005;M4;;57BPF11770I;ST;;JD KIT INTEGRADO MTG 4G TRACTORES 6M;1CD0
000000000000915937;0005;M4;0000100005;057PFA11823I;ST;;JD CONECT AUTOTRAC300 A CABLEADO GS RDY;1CD0
000000000000915938;0005;M4;0000100005;57PFP18564I;ST;;JD INTERRUPTOR REANUDACIÓN ATU 300;1CD0
000000000000912815;0005;M4;;57BPF10201I;ST;;JD KIT INTEGRADO MTG 4G SPRAYERS 4630;1CD0
000000000000919605;0005;M2;;;ST;;JD FRONT WINDOWS KBL FK;1CD0
