MATNR;MATKL;SPART;MFRNR;MFRPN;MEINS;LVORM;MAKTX;WERKS
000000000000928535;0103;R0;0000100157;07R264173I;ST;;TORNILLO;1CD0
000000000000928558;0103;R0;0000100157;07L219002I;ST;;TORNILLO;1CD0
000000000000928559;0103;R0;0000100157;0737M7520I;ST;;TORNILLO;1CD0
000000000000928561;0103;R0;0000100157;07L214410I;ST;;TORNILLO;1CD0
000000000000928892;0103;R0;0000100157;07HXE87510I;ST;;TORNILLO;1CD0
000000000000925792;0103;R0;0000100157;07TT100872I;ST;;TORNILLO;1CD0
000000000000926612;0103;R0;0000100157;0719M9570I;ST;;TORNILLO;1CD0
000000000000926618;0103;R0;0000100157;0719M9471I;ST;;TORNILLO;1CD0
000000000000925498;0103;R0;0000100157;07N284113I;ST;;TORNILLO;1CD0
000000000000930662;0103;R0;0000100157;07CH19141I;ST;;TORNILLO;1CD0
000000000000930743;0103;R0;0000100157;07J931845I;ST;;TORNILLO;1CD0
000000000000932568;0103;R0;0000100157;07F437389I;ST;;TORNILLO;1CD0
000000000000932570;0103;R0;0000100157;07F437415I;ST;;TORNILLO;1CD0
000000000000932613;0103;R0;0000100157;07F435065I;ST;;TORNILLO;1CD0
000000000000932657;0103;R0;0000100157;07R324408I;ST;;TORNILLO;1CD0
000000000000932953;0103;R0;0000100157;07GX23457I;ST;;TORNILLO;1CD0
000000000000929546;0103;R0;0000100157;07SU51029I;ST;;TORNILLO;1CD0
000000000000929594;0103;R0;0000100157;07SU51037I;ST;;TORNILLO;1CD0
000000000000931147;0103;R0;0000100157;07CQ30165I;ST;;TORNILLO;1CD0
000000000000929721;0103;R0;0000100157;0753M7018I;ST;;TORNILLO;1CD0
000000000000931279;0103;R0;0000100157;07F437166I;ST;;TORNILLO;1CD0
000000000000931318;0103;R0;0000100157;07F073275I;ST;;TORNILLO;1CD0
000000000000931324;0103;R0;0000100157;0719M9457I;ST;;TORNILLO;1CD0
000000000000934490;0103;R0;0000100157;07F025274I;ST;;TORNILLO;1CD0
000000000000934491;0103;R0;0000100157;0719H3983I;ST;;TORNILLO;1CD0
000000000000935127;0103;R0;0000100157;0719H3753I;ST;;TORNILLO;1CD0
000000000000936529;0103;R0;0000100157;07N319885I;ST;;TORNILLO;1CD0
000000000000936540;0103;R0;0000100157;0719M9440I;ST;;TORNILLO;1CD0
000000000000937618;0103;R0;0000100157;07F074862I;ST;;TORNILLO;1CD0
000000000000937620;0103;R0;0000100157;07F075289I;ST;;TORNILLO;1CD0
000000000000937621;0103;R0;0000100157;07F075365I;ST;;TORNILLO;1CD0
000000000000937622;0103;R0;0000100157;07F075482I;ST;;TORNILLO;1CD0
000000000000937668;0103;R0;0000100157;07F687484I;ST;;TORNILLO;1CD0
000000000000937558;0103;R0;0000100157;0719M9448I;ST;;TORNILLO;1CD0
000000000000937559;0103;R0;0000100157;0719M9472I;ST;;TORNILLO;1CD0
000000000000937560;0103;R0;0000100157;0719M9530I;ST;;TORNILLO;1CD0
000000000000937561;0103;R0;0000100157;0719M9599I;ST;;TORNILLO;1CD0
000000000000937562;0103;R0;0000100157;0719M9717I;ST;;TORNILLO;1CD0
000000000000937563;0103;R0;0000100157;0719M9723I;ST;;TORNILLO;1CD0
000000000000937564;0103;R0;0000100157;0721M7563I;ST;;TORNILLO;1CD0
000000000000937854;0103;R0;0000100157;07F076481I;ST;;TORNILLO;1CD0
000000000000937856;0103;R0;0000100157;07F616867I;ST;;TORNILLO;1CD0
000000000000934725;0103;R0;0000100157;07R552550I;ST;;TORNILLO;1CD0
000000000000934727;0103;R0;0000100157;07R554736I;ST;;TORNILLO;1CD0
000000000000934729;0103;R0;0000100157;07R243674I;ST;;TORNILLO;1CD0
000000000000935301;0103;R0;0000100157;07R530678I;ST;;TORNILLO;1CD0
000000000000934028;0103;R0;0000100157;07PT4765I;ST;;TORNILLO;1CD0
000000000000935423;0103;R0;0000100157;07R232673I;ST;;TORNILLO;1CD0
000000000000935430;0103;R0;0000100157;07R232675I;ST;;TORNILLO;1CD0
000000000000936165;0103;R0;0000100157;07RE264176I;ST;;TORNILLO;1CD0
000000000000935574;0103;R0;0000100157;0719M3121I;ST;;TORNILLO;1CD0
000000000000934254;0103;R0;0000100157;0737M7082I;ST;;TORNILLO;1CD0
000000000000935609;0103;R0;0000100157;07Z48305I;ST;;TORNILLO;1CD0
000000000000935663;0103;R0;0000100157;07R250746I;ST;;TORNILLO;1CD0
000000000000935671;0103;R0;0000100157;07LCA121160I;ST;;TORNILLO;1CD0
000000000000936415;0103;R0;0000100157;07MIU11402I;ST;;TORNILLO;1CD0
000000000000936416;0103;R0;0000100157;07MIU11404I;ST;;TORNILLO;1CD0
000000000000936418;0103;R0;0000100157;07MIU11403I;ST;;TORNILLO;1CD0
000000000000935015;0103;R0;0000100157;07M111701I;ST;;TORNILLO;1CD0
000000000000936485;0103;R0;0000100157;07L201608I;ST;;TORNILLO;1CD0
000000000000934436;0103;R0;0000100157;07F054832I;ST;;TORNILLO;1CD0
000000000000935815;0103;R0;0000100157;07ER020779I;ST;;TORNILLO;1CD0
000000000000938885;0103;R0;0000100157;07ER107990I;ST;;TORNILLO;1CD0
000000000000939706;0103;R0;0000100157;07H169766I;ST;;TORNILLO;1CD0
000000000000940481;0103;R0;0000100157;07R290012I;ST;;TORNILLO;1CD0
000000000000941082;0103;R0;0000100157;0719M8836I;ST;;TORNILLO;1CD0
000000000000941083;0103;R0;0000100157;0719M9444I;ST;;TORNILLO;1CD0
000000000000941084;0103;R0;0000100157;0719M9684I;ST;;TORNILLO;1CD0
000000000000941085;0103;R0;0000100157;0719M9686I;ST;;TORNILLO;1CD0
000000000000941086;0103;R0;0000100157;0719M9741I;ST;;TORNILLO;1CD0
000000000000941087;0103;R0;0000100157;0721M7528I;ST;;TORNILLO;1CD0
000000000000941088;0103;R0;0000100157;0721M7529I;ST;;TORNILLO;1CD0
000000000000941089;0103;R0;0000100157;0721M7541I;ST;;TORNILLO;1CD0
000000000000941090;0103;R0;0000100157;0721M7546I;ST;;TORNILLO;1CD0
000000000000941091;0103;R0;0000100157;0721M7551I;ST;;TORNILLO;1CD0
000000000000941095;0103;R0;0000100157;0737M7345I;ST;;TORNILLO;1CD0
000000000000941111;0103;R0;0000100157;07F042787I;ST;;TORNILLO;1CD0
000000000000941116;0103;R0;0000100157;07F058464I;ST;;TORNILLO;1CD0
000000000000941132;0103;R0;0000100157;07F076498I;ST;;TORNILLO;1CD0
000000000000941133;0103;R0;0000100157;07F076499I;ST;;TORNILLO;1CD0
000000000000941135;0103;R0;0000100157;07F076501I;ST;;TORNILLO;1CD0
000000000000941142;0103;R0;0000100157;07F076658I;ST;;TORNILLO;1CD0
000000000000941163;0103;R0;0000100157;07F643043I;ST;;TORNILLO;1CD0
000000000000941184;0103;R0;0000100157;07F681222I;ST;;TORNILLO;1CD0
000000000000941190;0103;R0;0000100157;07F681376I;ST;;TORNILLO;1CD0
000000000000941191;0103;R0;0000100157;07F681377I;ST;;TORNILLO;1CD0
000000000000941193;0103;R0;0000100157;07F681380I;ST;;TORNILLO;1CD0
000000000000941251;0103;R0;0000100157;07F681761I;ST;;TORNILLO;1CD0
000000000000941252;0103;R0;0000100157;07F681762I;ST;;TORNILLO;1CD0
000000000000941267;0103;R0;0000100157;07F683161I;ST;;TORNILLO;1CD0
000000000000941400;0103;R0;0000100157;074452613I;ST;;TORNILLO;1CD0
000000000000941420;0103;R0;0000100157;07FF101133I;ST;;TORNILLO;1CD0
000000000000941435;0103;R0;0000100157;07FF207538I;ST;;TORNILLO;1CD0
000000000000941456;0103;R0;0000100157;07FF214147I;ST;;TORNILLO;1CD0
000000000000941518;0103;R0;0000100157;07FFSB107829I;ST;;TORNILLO;1CD0
000000000000941521;0103;R0;0000100157;07FFSB115413I;ST;;TORNILLO;1CD0
000000000000941523;0103;R0;0000100157;07FXB00000884I;ST;;TORNILLO;1CD0
000000000000941524;0103;R0;0000100157;07FXB00000893I;ST;;TORNILLO;1CD0
000000000000941551;0103;R0;0000100157;07J650825I;ST;;TORNILLO;1CD0
000000000000941552;0103;R0;0000100157;07J923010I;ST;;TORNILLO;1CD0
000000000000941554;0103;R0;0000100157;07N207971I;ST;;TORNILLO;1CD0
000000000000941555;0103;R0;0000100157;07N208017I;ST;;TORNILLO;1CD0
