VBELN;POSNR;FKART;FKDAT;RFBSK;FKSTO;VBTYP;ERDAT;MATNR;NETWR;MWSBP;MATKL;CHARG;SELLER_ID;SELLER_NOMBRE;SELLER_APELLIDO
0900417711;000010;ZSNB;20260302;C;;M;20260302;000000000000154643;408.39;77.60;0103;;;;
0900417711;000020;ZSNB;20260302;C;;M;20260302;000000000000155514;341.92;64.96;0103;;;;
0900417712;000001;ZSNB;20260302;C;;M;20260302;000000000001057682;208.85;39.68;0024;;;;
0900417713;000001;ZBEN;20260302;C;;M;20260302;000000000001007937;210.00;39.90;0102;;;;
0900417713;000002;ZBEN;20260302;C;;M;20260302;000000000000000397;33.53;6.37;0024;;;;
0900417714;000001;ZBEN;20260302;C;;M;20260302;000000000001057682;104.43;19.84;0024;;;;
0900417714;000002;ZBEN;20260302;C;;M;20260302;000000000000000397;33.53;6.37;0024;;;;
0900417715;000002;ZBEN;20260302;C;;M;20260302;000000000000000397;33.53;6.37;0024;;;;
0900417715;000012;ZBEN;20260302;C;;M;20260302;000000000000837669;1260.42;239.48;0102;;;;
0900417716;000001;ZBEN;20260302;C;;M;20260302;000000000000797245;420.08;79.82;0102;;;;
0900417716;000002;ZBEN;20260302;C;;M;20260302;000000000000000397;33.53;6.37;0024;;;;
0900417717;000010;ZSNB;20260302;C;;M;20260302;000000000000700404;406.76;77.28;0034;;;;
0900417718;000010;ZSNB;20260302;C;;M;20260302;000000000000866477;823.24;156.42;0034;;;;
0900417719;000010;ZSNB;20260302;C;;M;20260302;000000000000729392;548.94;104.30;0103;;;;
0900417720;000001;ZBEN;20260302;C;;M;20260302;000000000000155469;145.37;27.62;0103;;;;
0900417721;000001;ZBEN;20260302;C;;M;20260302;000000000001007937;210.00;39.90;0102;;;;
0900417722;000010;ZSNB;20260302;C;;M;20260302;000000000000770714;10222.11;1942.20;0034;;;;
0900417724;000010;ZSNB;20260302;C;;M;20260302;000000000000851961;3438.30;653.28;0016;;;;
0900417725;000010;ZDML;20260302;C;;P;20260302;000000000000922301;425.56;80.86;0253;;;;
0900417725;000020;ZDML;20260302;C;;P;20260302;000000000000922066;36.56;6.95;0253;;;;
0900417725;000030;ZDML;20260302;C;;P;20260302;000000000000922018;292.96;55.66;0253;;;;
0900417725;000040;ZDML;20260302;C;;P;20260302;000000000000923298;1030.53;195.80;0083;;;;
0900417725;000050;ZDML;20260302;C;;P;20260302;CS51;2200.02;418.00;0082;;;;
0900417725;000060;ZDML;20260302;C;;P;20260302;VARIOS_LIVIANO;173.95;33.05;0027;;;;
0900417726;000010;ZSNB;20260302;C;;M;20260302;000000000000156431;248.18;47.15;0103;;;;
0900417727;000010;ZSNB;20260302;C;;M;20260302;000000000000162133;728.69;138.45;0310;;;;
0900417727;000020;ZSNB;20260302;C;;M;20260302;000000000000835318;246.83;46.90;0013;;;;
0900417728;000010;ZSNB;20260302;C;;M;20260302;000000000000819714;220.88;41.97;0200;;;;
0900417728;000020;ZSNB;20260302;C;;M;20260302;000000000000819715;671.36;127.56;0200;;;;
0900417728;000030;ZSNB;20260302;C;;M;20260302;000000000000819716;381.06;72.40;0200;;;;
0900417728;000040;ZSNB;20260302;C;;M;20260302;000000000000819713;178.34;33.88;0200;;;;
0900417728;000050;ZSNB;20260302;C;;M;20260302;000000000000727966;404.56;76.87;0200;;;;
0900417728;000060;ZSNB;20260302;C;;M;20260302;000000000000754274;891.27;169.34;0013;;;;
0900417729;000010;ZSNB;20260302;C;;M;20260302;000000000000700781;1533.31;291.32;0034;;;;
0900417729;000020;ZSNB;20260302;C;;M;20260302;000000000000743752;445.29;84.61;0034;;;;
0900417729;000030;ZSNB;20260302;C;;M;20260302;000000000000700781;511.10;97.11;0034;;;;
0900417730;000010;ZSNB;20260302;C;;M;20260302;000000000000156431;248.18;47.15;0103;;;;
0900417730;000020;ZSNB;20260302;C;;M;20260302;000000000000188937;370.56;70.41;0103;;;;
0900417730;000030;ZSNB;20260302;C;;M;20260302;000000000000188936;271.53;51.59;0103;;;;
0900417730;000040;ZSNB;20260302;C;;M;20260302;000000000000170833;757.31;143.89;0103;;;;
0900417730;000050;ZSNB;20260302;C;;M;20260302;000000000000170834;530.44;100.78;0103;;;;
0900417732;000020;ZDRP;20260302;C;;P;20260302;CS40;3407.04;647.34;0082;;;;
