ITEM_TYPE;BUKRS;KUNNR;BELNR;GJAHR;BLART;BUDAT;BLDAT;WAERS;DMBTR;WRBTR;SHKZG;ZFBDT;ZBD1T;VBELN;ZUONR;SGTXT;AUGDT;AUGBL
CLEARED;1000;96689310-9;0000266616;2024;SA;20240131;20240131;CLP;150.56;150.56;S;20240131;0;;;;20240131;0000266616
CLEARED;1000;96689310-9;0000266623;2024;SA;20240131;20240131;CLP;941.62;941.62;S;20240131;0;;;;20240131;0000266623
CLEARED;1000;96689310-9;0000266625;2024;SA;20240131;20240131;CLP;447.32;447.32;S;20240131;0;;;;20240131;0000266625
CLEARED;1000;96689310-9;0000266626;2024;SA;20240131;20240131;CLP;2577.05;2577.05;S;20240131;0;;;;20240131;0000266626
CLEARED;1000;96689310-9;0000266643;2024;SA;20240131;20240131;CLP;1742.41;1742.41;S;20240131;0;;;;20240131;0000266643
CLEARED;1000;96689310-9;0000266655;2024;SA;20240131;20240131;CLP;459.73;459.73;S;20240131;0;;;;20240131;0000266655
CLEARED;1000;96689310-9;0000266656;2024;SA;20240131;20240131;CLP;3043.35;3043.35;S;20240131;0;;;;20240131;0000266656
CLEARED;1000;96689310-9;0000266672;2024;SA;20240131;20240131;CLP;733.30;733.30;S;20240131;0;;;;20240131;0000266672
CLEARED;1000;96689310-9;0000266673;2024;SA;20240131;20240131;CLP;924.13;924.13;S;20240131;0;;;;20240131;0000266673
CLEARED;1000;96689310-9;0000266678;2024;SA;20240131;20240131;CLP;125.89;125.89;S;20240131;0;;;;20240131;0000266678
CLEARED;1000;96689310-9;0000266679;2024;SA;20240131;20240131;CLP;134.30;134.30;S;20240131;0;;;;20240131;0000266679
CLEARED;1000;96689310-9;0000266686;2024;SA;20240131;20240131;CLP;380.80;380.80;S;20240131;0;;;;20240131;0000266686
CLEARED;1000;96689310-9;0000266699;2024;SA;20240131;20240131;CLP;1359.00;1359.00;S;20240131;0;;;;20240131;0000266699
CLEARED;1000;96689310-9;0000266709;2024;SA;20240131;20240131;CLP;50000.00;50000.00;S;20240131;0;;;;20240131;0000266709
CLEARED;1000;96689310-9;0000266721;2024;SA;20240131;20240131;CLP;5713.36;5713.36;S;20240131;0;;;;20240131;0000266721
CLEARED;1000;96689310-9;0000266727;2024;SA;20240131;20240131;CLP;897.03;897.03;S;20240131;0;;;;20240131;0000266727
CLEARED;1000;96689310-9;0000266729;2024;SA;20240131;20240131;CLP;3918.74;3918.74;S;20240131;0;;;;20240131;0000266729
CLEARED;1000;96689310-9;0000266734;2024;SA;20240131;20240131;CLP;1038.97;1038.97;S;20240131;0;;;;20240131;0000266734
CLEARED;1000;96689310-9;0000266737;2024;SA;20240131;20240131;CLP;1251.67;1251.67;S;20240131;0;;;;20240131;0000266737
CLEARED;1000;96689310-9;0000266740;2024;SA;20240131;20240131;CLP;852.87;852.87;S;20240131;0;;;;20240131;0000266740
CLEARED;1000;96689310-9;0000266747;2024;SA;20240131;20240131;CLP;1122.16;1122.16;S;20240131;0;;;;20240131;0000266747
CLEARED;1000;96689310-9;0000266752;2024;SA;20240131;20240131;CLP;951.55;951.55;S;20240131;0;;;;20240131;0000266752
CLEARED;1000;96689310-9;0000266755;2024;SA;20240131;20240131;CLP;3777.94;3777.94;S;20240131;0;;;;20240131;0000266755
CLEARED;1000;96689310-9;0000266758;2024;SA;20240131;20240131;CLP;5157.97;5157.97;S;20240131;0;;;;20240131;0000266758
CLEARED;1000;96689310-9;0000266759;2024;SA;20240131;20240131;CLP;16000.00;16000.00;S;20240131;0;;;;20240131;0000266759
CLEARED;1000;96689310-9;0000266760;2024;SA;20240131;20240131;CLP;900.00;900.00;S;20240131;0;;;;20240131;0000266760
CLEARED;1000;96689310-9;0000285732;2024;SA;20240131;20240131;CLP;2354.77;2354.77;S;20240131;0;;;;20240131;0000285732
CLEARED;1000;96689310-9;0000285734;2024;SA;20240131;20240131;CLP;1926.46;1926.46;S;20240131;0;;;;20240131;0000285734
CLEARED;1000;96689310-9;0000285736;2024;SA;20240131;20240131;CLP;1305.14;1305.14;S;20240131;0;;;;20240131;0000285736
CLEARED;1000;96689310-9;0000285738;2024;SA;20240131;20240131;CLP;97.98;97.98;S;20240131;0;;;;20240131;0000285738
CLEARED;1000;96689310-9;0000285739;2024;SA;20240131;20240131;CLP;3247.40;3247.40;S;20240131;0;;;;20240131;0000285739
CLEARED;1000;96689310-9;0000285740;2024;SA;20240131;20240131;CLP;384.32;384.32;S;20240131;0;;;;20240131;0000285740
CLEARED;1000;96689310-9;0000285741;2024;SA;20240131;20240131;CLP;1178.93;1178.93;S;20240131;0;;;;20240131;0000285741
CLEARED;1000;96689310-9;0000285742;2024;SA;20240131;20240131;CLP;2060.64;2060.64;S;20240131;0;;;;20240131;0000285742
CLEARED;1000;96689310-9;0000285745;2024;SA;20240131;20240131;CLP;225.66;225.66;S;20240131;0;;;;20240131;0000285745
CLEARED;1000;96689310-9;0000285747;2024;SA;20240131;20240131;CLP;1029.50;1029.50;S;20240131;0;;;;20240131;0000285747
CLEARED;1000;96689310-9;0000285748;2024;SA;20240131;20240131;CLP;202.30;202.30;S;20240131;0;;;;20240131;0000285748
